Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
22/06/2026 04:38:14,"3°49'31""S 38°28'17""W",Lagoa Redonda
22/06/2026 04:38:19,"3°46'32""S 38°31'55""W",Aeroporto
22/06/2026 04:38:23,"3°43'59""S 38°30'33""W",Aldeota
22/06/2026 04:38:28,"3°44'26""S 38°30'33""W",Aldeota
22/06/2026 04:38:33,"3°45'59""S 38°29'9""W",Guararapes
22/06/2026 04:38:38,"3°49'15""S 38°32'2""W",Passaré
22/06/2026 04:38:55,"16°39'18""S 49°14'56""W",Osvaldo Rosa
22/06/2026 04:39:01,"16°38'52""S 49°12'32""W",Residencial Carlos de Freitas
22/06/2026 04:39:05,"16°41'48""S 49°16'10""W",Setor Marista
22/06/2026 04:39:10,"16°41'49""S 49°15'20""W",Setor Sul
22/06/2026 04:39:14,"16°42'17""S 49°14'26""W",Jardim Goiás
22/06/2026 04:39:19,"16°37'51""S 49°12'2""W",Sítio de Recreio Ipê
22/06/2026 04:39:25,"16°40'54""S 49°15'20""W",Setor Central
22/06/2026 04:39:44,"26°52'42""S 48°39'2""W",Centro
22/06/2026 04:39:50,"26°47'17""S 50°56'23""W",Aeroporto
22/06/2026 04:39:55,"27°17'13""S 50°36'14""W",Curitibanos
22/06/2026 04:39:59,"27°27'20""S 48°27'41""W",Canasvieiras
22/06/2026 04:40:05,"28°40'31""S 49°3'37""W",Jaguaruna
22/06/2026 04:40:09,"27°46'55""S 50°16'54""W",Guarujá
22/06/2026 04:40:25,"8°3'43""S 34°57'50""W",UR-07
22/06/2026 04:40:31,"8°6'3""S 34°53'3""W",Boa Viagem
22/06/2026 04:40:35,"8°5'11""S 34°54'7""W",Pina
22/06/2026 04:40:43,"8°50'3""S 36°28'17""W",São Pedro
22/06/2026 04:40:49,"8°24'28""S 37°5'17""W",Santos Dumont
22/06/2026 04:41:08,"15°47'44""S 47°53'36""W",Setor Comercial Sul
22/06/2026 04:41:12,"15°47'26""S 47°52'45""W",Brasília
22/06/2026 04:41:17,"15°51'15""S 47°48'33""W",Reserva Jardim Botânico
22/06/2026 04:41:22,"15°46'23""S 47°42'10""W",Paranoá
22/06/2026 04:41:26,"15°49'50""S 47°52'0""W",Lago Sul
22/06/2026 04:41:32,"15°49'45""S 48°1'44""W",Águas Claras
22/06/2026 04:41:37,"15°50'7""S 47°54'35""W",Asa Sul
22/06/2026 04:41:54,"2°59'53""S 60°1'48""W",Colonia Terra Nova
22/06/2026 04:41:59,"5°48'39""S 61°16'41""W",Manicoré
22/06/2026 04:42:07,"3°6'57""S 60°1'9""W",Nossa Senhora das Graças
22/06/2026 04:42:13,"7°10'19""S 59°50'20""W",Apuí
22/06/2026 04:42:32,"1°16'1""S 48°25'47""W",Outeiro
22/06/2026 04:42:36,"3°46'36""S 49°43'10""W",Tucuruí
22/06/2026 04:42:41,"1°24'54""S 48°27'32""W",Souza
22/06/2026 04:42:46,"6°38'29""S 51°57'7""W",São Félix do Xingu
22/06/2026 04:42:50,"6°14'7""S 57°46'32""W",Jacareacanga
22/06/2026 04:42:56,"3°1'10""S 47°18'59""W",Paragominas
22/06/2026 04:43:00,"1°26'22""S 48°28'54""W",Umarizal
22/06/2026 04:43:19,"19°27'51""S 40°40'1""W",Colatina
22/06/2026 04:43:25,"19°49'35""S 40°6'2""W",Barra do Riacho
22/06/2026 04:43:30,"20°15'29""S 40°17'11""W",Aeroporto
22/06/2026 04:43:36,"19°56'14""S 40°24'39""W",Cocal
22/06/2026 04:43:41,"20°13'50""S 40°16'36""W",Carapina Grande
22/06/2026 04:44:00,"13°49'15""S 56°2'18""W",Nova Mutum
22/06/2026 04:44:06,"14°41'52""S 52°20'49""W",Nova Xavantina
22/06/2026 04:44:11,"14°39'42""S 57°26'38""W",Jardim Aeroporto
22/06/2026 04:44:19,"15°33'15""S 55°41'30""W",Cuiabá
22/06/2026 04:44:24,"15°39'0""S 56°7'2""W",Centro Sul
22/06/2026 04:44:45,"20°45'42""S 54°26'52""W",Campo Grande
22/06/2026 04:44:51,"20°34'17""S 54°42'55""W",Recreio Itaim
22/06/2026 04:44:58,"20°29'9""S 54°28'59""W",Terras do Golfe




